project,hash,date,fileId,fileName,dok0.004Values,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,dok0.004Median,dok0.004Std,dok0.004Min,dok0.004Max,dok0.004RelativeAvg,dok0.004RelativeMedian,dok0.004RelativeMin,dok0.004RelativeMax,dok0.004FileBusFactor0.5,dok0.004FileBusFactor0.6,dok0.004FileBusFactor0.7,dok0.004FileBusFactor0.8,dok0.004FileBusFactor0.9,dok0.004FileBusFactor1.0,dok0.004ProjectBusFactor0.5,dok0.004ProjectBusFactor0.6,dok0.004ProjectBusFactor0.7,dok0.004ProjectBusFactor0.8,dok0.004ProjectBusFactor0.9,dok0.004ProjectBusFactor1.0,isBugPresent,isBugfix,isSZZBugIntroducer,isRefactor,totalBugfix,totalRefactors,revision,age,authors,totalAuthors,authorId,totalLoc,locFirst,locLast,locLast-First,deltaTotalAddedToLast,deltaTotalRemovedToLast,deltaTotalReplacedToLast,added,removed,replaced,modified,relativeAdded,relativeRemoved,relativeReplaced,relativeModified,deltaLocToLast,deltaLocToPrev,deltaLocToNext,deltaLocAddedToPrev,deltaLocRemovedToPrev,deltaLocReplacedToPrev,deltaLocModifiedToPrev,deltaLocAddedToNext,deltaLocRemovedToNext,deltaLocReplacedToNext,deltaLocModifiedToNext,180hcpf1,180hcpf2,180fileHcpf,180commitHcpf,180hcm1,180hcm2,180edhcm,180ldhcm,180lgdhcm,90hcpf1,90hcpf2,90fileHcpf,90commitHcpf,90hcm1,90hcm2,90edhcm,90ldhcm,90lgdhcm,riskScore,nrOfFunctions,ccsSum,ccsAvg,ccsMed,ccsMin,ccsMax,ccsStd,isKillCommit,scatterSingleScore,scatterAvg15,scatterSum15,scatterMax15,scatterMed15,scatterTimeAvg,scatterTimeSum,scatterTimeMax,scatterTimeMed,dependencyChanged,dependencyChangedPrev5Commits
bahmni-core,3caf554bab8d6a4b7010071e5bd1380ac1a50d9a,1409724209,1462,"reference-data/omod/src/main/java/model/Operation.java","{""124"":1.0}",null,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1,1,1,1,1,0,0,0,0,0,false,false,true,false,0,0,0,0,1,1,124,32,32,0,-32,3,35,4,32,0,0,32,1.0,0.0,0.0,1.0,-32,-32,3,32,0,0,32,29,0,-4,25,0.8930,0.0008,0.8959,0.7330,0.0000,0.0000,0.0000,0.0000,0.0000,0.8863,0.0012,0.8981,0.7026,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,1,3,3.0000,3.0000,3,3,0.0000,false,45.5556,-1.0000,-1.0000,-1.0000,-1.0000,327.7298,109.2433,203.5909,78.5833,true,false
bahmni-core,4993dbfb0a0e00048e7610df6b9690dff79c4b3e,1409745832,1462,"reference-data/omod/src/main/java/model/Operation.java","{""124"":1.0}",1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1,1,1,1,1,0,0,0,0,0,false,false,true,false,0,0,1,21623,1,1,124,35,32,0,-32,0,35,0,3,0,4,7,0.08571429,0.0,0.114285715,0.2,-35,-3,-35,-29,0,4,-25,3,-35,4,-28,0.8939,0.0010,0.8970,0.7365,0.0000,0.0000,0.0000,0.0000,0.0000,0.8877,0.0014,0.8995,0.7087,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,1,3,3.0000,3.0000,3,3,0.0000,false,78.5833,-1.0000,-1.0000,-1.0000,-1.0000,282.1742,141.0871,203.5909,141.0871,true,true
bahmni-core,f4033d17ba40df1c01f94da3bf54d9860dd872ae,1409824879,1462,"reference-data/omod/src/main/java/model/Operation.java","{""124"":0.996}",0.9969,0.9960,0.9960,0.9960,0.9960,0.0000,0.9960,0.9960,0.9960,1.0000,1.0000,1.0000,1,1,1,1,1,0,1,0,0,0,0,0,false,false,true,false,0,0,2,100670,1,1,124,0,32,0,-32,0,0,0,0,35,0,35,NaN,Infinity,NaN,Infinity,0,35,0,-3,35,-4,28,0,0,0,0,0.8956,0.0018,0.8998,0.7405,0.0000,0.0000,0.0000,0.0000,0.0000,0.8892,0.0025,0.9024,0.7139,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,203.5909,-1.0000,-1.0000,-1.0000,-1.0000,203.5909,203.5909,203.5909,203.5909,true,true
bahmni-core,e5d75da953583febf852022895937038f560dd4a,1409749068,1461,"reference-data/omod/src/main/java/advice/ConceptOperationEventInterceptor.java","{""124"":1.0}",null,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1,1,1,1,1,0,0,0,0,0,false,true,false,false,1,0,0,0,1,1,124,70,70,0,-70,0,70,0,70,0,0,70,1.0,0.0,0.0,1.0,-70,-70,-70,70,0,0,70,70,-70,0,0,0.8939,0.0018,0.8974,0.7377,0.0000,0.0000,0.0000,0.0000,0.0000,0.8877,0.0025,0.9000,0.7108,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,6,1,0.1667,0.0000,0,1,0.3727,false,28.6000,-1.0000,-1.0000,-1.0000,-1.0000,232.1909,116.0955,203.5909,116.0955,false,true
bahmni-core,f4033d17ba40df1c01f94da3bf54d9860dd872ae,1409824879,1461,"reference-data/omod/src/main/java/advice/ConceptOperationEventInterceptor.java","{""124"":1.0}",1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1,1,1,1,1,0,0,0,0,0,false,false,true,false,1,0,1,75811,1,1,124,0,70,0,-70,0,0,0,0,70,0,70,NaN,Infinity,NaN,Infinity,0,70,0,-70,70,0,0,0,0,0,0,0.8956,0.0033,0.8998,0.7405,0.0000,0.0000,0.0000,0.0000,0.0000,0.8892,0.0047,0.9024,0.7139,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,203.5909,-1.0000,-1.0000,-1.0000,-1.0000,203.5909,203.5909,203.5909,203.5909,true,true
bahmni-core,28f668dae7c1dfcb65079e4ecef432210b2a1076,1375080351,1460,"bahmnicore-api/src/main/java/org/bahmni/module/bahmnicore/resource/BahmniVisitResource.java","{""111"":1.0}",null,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1,1,1,1,1,0,0,0,0,0,true,false,true,false,0,0,0,0,1,1,111,152,152,151,-1,0,1,1,152,0,0,152,1.0,0.0,0.0,1.0,-1,-152,0,152,0,0,152,152,0,-1,151,0.8967,0.0019,0.9068,0.6009,0.0000,0.0000,0.0000,0.0000,0.0000,0.9154,0.0058,0.9240,0.5930,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,12,7,0.5833,0.5000,0,2,0.6401,false,2824.9167,-1.0000,-1.0000,-1.0000,-1.0000,2928.0417,976.0139,2824.9167,103.1250,true,true
bahmni-core,38e7302caba382809c31db46c4954b8bc7f87e26,1410327096,1460,"bahmnicore-api/src/main/java/org/bahmni/module/bahmnicore/resource/BahmniVisitResource.java","{""71"":0.006535948,""111"":0.19440207}",null,0.0065,0.2009,0.1005,0.1005,0.0939,0.0065,0.1944,0.2009,1.0000,0.0651,1.9349,0,0,0,0,0,0,0,0,0,0,0,0,false,true,false,false,1,0,1,35246745,2,2,71,152,152,151,-1,0,1,0,0,0,1,1,0.0,0.0,0.0065789474,0.0065789474,-1,0,-1,-152,0,1,-151,0,-1,1,0,0.8974,0.0000,0.9053,0.7499,0.8967,0.0019,0.4439,29.8899,81.3745,0.8914,0.0000,0.9063,0.7282,0.9154,0.0058,0.2266,18.3088,56.8089,60.92,12,7,0.5833,0.5000,0,2,0.6401,false,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,103.1250,51.5625,103.1250,51.5625,false,false
bahmni-core,3e68d33c802744ca624cc459ead8c4b362e5d3fd,1410352131,1460,"bahmnicore-api/src/main/java/org/bahmni/module/bahmnicore/resource/BahmniVisitResource.java","{""71"":0.0065789474,""111"":0.19361636}",null,null,0.2002,0.1001,0.1001,0.0935,0.0066,0.1936,0.2002,1.0000,0.0657,1.9343,0,0,0,0,0,0,1,0,0,0,0,0,false,false,true,false,1,0,2,35271780,2,3,124,151,152,151,-1,0,0,0,0,1,0,1,0.0,0.0066225166,0.0,0.0066225166,0,1,0,0,1,-1,0,0,0,0,0,0.8968,0.0000,0.9050,0.7510,0.8967,0.0019,0.4439,29.8899,81.3745,0.8917,0.0001,0.9056,0.7316,0.9154,0.0058,0.2266,18.3088,56.8089,9.9,12,7,0.5833,0.5000,0,2,0.6401,false,103.1250,-1.0000,-1.0000,-1.0000,-1.0000,103.1250,103.1250,103.1250,103.1250,false,true
bahmni-core,793946ce0390f94d92299f22e01ca5304f892356,1406030764,1459,"bahmni-emr-api/src/main/java/org/openmrs/module/bahmniemrapi/encountertransaction/matcher/EncounterProviderSessionMatcher.java","{""111"":1.0}",null,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1,1,1,1,1,0,0,0,0,0,false,false,true,false,0,0,0,0,1,1,111,51,51,0,-51,0,51,0,51,0,0,51,1.0,0.0,0.0,1.0,-51,-51,-51,51,0,0,51,51,-51,0,0,0.8910,0.0011,0.8834,0.7222,0.0000,0.0000,0.0000,0.0000,0.0000,0.8729,0.0029,0.8871,0.5956,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,3,12,4.0000,2.0000,0,10,4.3205,false,1248.4253,-1.0000,-1.0000,-1.0000,-1.0000,1351.5503,675.7751,1248.4253,675.7751,true,false
bahmni-core,3e68d33c802744ca624cc459ead8c4b362e5d3fd,1410352131,1459,"bahmni-emr-api/src/main/java/org/openmrs/module/bahmniemrapi/encountertransaction/matcher/EncounterProviderSessionMatcher.java","{""111"":0.8184021}",null,null,0.8184,0.8184,0.8184,0.0000,0.8184,0.8184,0.8184,1.0000,1.0000,1.0000,1,1,1,1,0,0,1,0,0,0,0,0,false,false,true,false,0,0,1,4321367,1,2,124,0,51,0,-51,0,0,0,0,51,0,51,NaN,Infinity,NaN,Infinity,0,51,0,-51,51,0,0,0,0,0,0,0.8968,0.0023,0.9050,0.7510,0.0000,0.0000,0.0000,0.0000,0.0000,0.8917,0.0031,0.9056,0.7316,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,103.1250,-1.0000,-1.0000,-1.0000,-1.0000,103.1250,103.1250,103.1250,103.1250,false,true
