project,hash,date,fileId,fileName,dok0.004Values,dok0.004PreCommitValues,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,dok0.004Median,dok0.004Std,dok0.004Min,dok0.004Max,dok0.004PreCommitSum,dok0.004PreCommitAvg,dok0.004PreCommitMedian,dok0.004PreCommitMin,dok0.004PreCommitMax,dok0.004RelativeAvg,dok0.004RelativeMedian,dok0.004RelativeMin,dok0.004RelativeMax,dok0.004FileBusFactor0.2,dok0.004FileBusFactorAuthors0.2,dok0.004ProjectBusFactor0.2,dok0.004ProjectBusFactorAuthors0.2,isBugPresent,isBugfix,isSZZBugIntroducer,isRefactor,totalBugfix,totalRefactors,revision,age,authors,totalAuthors,authorId,totalLoc,locFirst,locLast,locLast-First,deltaTotalAddedToLast,deltaTotalRemovedToLast,deltaTotalReplacedToLast,added,removed,replaced,modified,relativeAdded,relativeRemoved,relativeReplaced,relativeModified,deltaLocToLast,deltaLocToPrev,deltaLocToNext,deltaLocAddedToPrev,deltaLocRemovedToPrev,deltaLocReplacedToPrev,deltaLocModifiedToPrev,deltaLocAddedToNext,deltaLocRemovedToNext,deltaLocReplacedToNext,deltaLocModifiedToNext,180hcpf1,180hcpf2,180fileHcpf,180commitHcpf,180hcm1,180hcm2,180edhcm,180ldhcm,180lgdhcm,90hcpf1,90hcpf2,90fileHcpf,90commitHcpf,90hcm1,90hcm2,90edhcm,90ldhcm,90lgdhcm,riskScore,nrOfFunctions,ccsSum,ccsAvg,ccsMed,ccsMin,ccsMax,ccsStd,isKillCommit,scatterSingleScore,scatterAvg15,scatterSum15,scatterMax15,scatterMed15,scatterTimeAvg,scatterTimeSum,scatterTimeMax,scatterTimeMed,dependencyChanged,dependencyChangedPrev5Commits
yeti,9504af2865eca77825fe575c236c2267e214dead,1400410644,1462,"Malcom/config/malconf.py","{""0"":1.0}","null",null,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,null,null,null,null,null,1.0000,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,false,true,false,0,0,0,0,1,1,0,75,75,158,83,238,155,124,75,0,0,75,1.0,0.0,0.0,1.0,83,-75,1,75,0,0,75,74,0,0,74,0.8408,0.0116,0.7867,0.7243,0.0000,0.0000,0.0000,0.0000,0.0000,0.8101,0.0220,0.7851,0.6117,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,9,10,1.1111,0.0000,0,7,2.1830,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,e9e4ec812ab26fca03ac1c6b12eb61e198f13901,1401228481,1462,"Malcom/config/malconf.py","{""0"":0.96547836}","{""0"":0.9645706}",0.9646,0.9655,0.9655,0.9655,0.9655,0.0000,0.9655,0.9655,0.9646,0.9646,0.9646,0.9646,0.9646,0.9655,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,false,true,false,0,0,1,817837,1,1,0,76,75,158,83,237,155,124,1,0,0,1,0.013157895,0.0,0.0,0.013157895,82,-1,0,-74,0,0,-74,1,0,-2,-1,0.8748,0.0089,0.8655,0.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.8738,0.0124,0.8681,0.6229,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,9,10,1.1111,0.0000,0,7,2.1830,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,7d7c9a9bb65955e1bde88e3e8952cebdf1024e5e,1404605170,1462,"Malcom/config/malconf.py","{""0"":0.8302536}","{""0"":0.8257657}",0.8258,0.8303,0.8303,0.8303,0.8303,0.0000,0.8303,0.8303,0.8258,0.8258,0.8258,0.8258,0.8258,0.8303,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,false,true,false,0,0,2,4194526,1,1,0,76,75,158,83,237,155,122,0,0,2,2,0.0,0.0,0.02631579,0.02631579,82,0,1,-1,0,2,1,-1,0,2,1,0.8674,0.0096,0.8520,0.6558,0.8748,0.0089,0.8661,43.7390,125.3026,0.8648,0.0103,0.8542,0.6394,0.8738,0.0124,0.8652,43.6924,125.1690,NaN,9,10,1.1111,0.0000,0,7,2.1830,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,32910731452189e73f549d97813ad3ba2fb7637a,1405265733,1462,"Malcom/config/malconf.py","{""0"":0.8091324}","{""0"":0.80423915}",0.8042,0.8091,0.8091,0.8091,0.8091,0.0000,0.8091,0.8091,0.8042,0.8042,0.8042,0.8042,0.8042,0.8091,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,false,true,false,0,0,3,4855089,1,1,0,77,75,158,83,236,155,122,1,0,0,1,0.012987013,0.0,0.0,0.012987013,81,-1,4,1,0,-2,-1,-4,-1,-1,-6,0.8690,0.0084,0.8444,0.6812,0.8748,0.0089,0.8661,43.7390,125.3026,0.8659,0.0089,0.8435,0.6700,0.8738,0.0124,0.8652,43.6924,125.1690,NaN,9,10,1.1111,0.0000,0,7,2.1830,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,fc82877a1c4524e51edca9c3ccc2bd79665b8217,1414443957,1462,"Malcom/config/malconf.py","{""0"":0.57171017}","{""0"":0.52906555}",0.5291,0.5717,0.5717,0.5717,0.5717,0.0000,0.5717,0.5717,0.5291,0.5291,0.5291,0.5291,0.5291,0.5717,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,false,true,false,0,0,4,14033313,1,1,0,81,75,158,83,231,154,121,5,1,1,7,0.061728396,0.012345679,0.012345679,0.086419754,77,-4,81,4,1,1,6,-76,1,1,-74,0.8520,0.0078,0.8242,0.6793,0.8748,0.0089,0.8661,43.7390,125.3026,0.7392,0.0073,0.6564,0.6557,1.7386,0.0228,1.2888,72.3675,203.1715,NaN,9,10,1.1111,0.0000,0,7,2.1830,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,2ddd743e3601c0f678dec24f5452fed010b599f7,1414449094,1462,"Malcom/config/malconf.py","{""0"":0.7807293}","{""0"":0.5716594}",0.5717,0.7807,0.7807,0.7807,0.7807,0.0000,0.7807,0.7807,0.5717,0.5717,0.5717,0.5717,0.5717,0.7807,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,false,true,false,0,0,5,14038450,1,1,0,162,75,158,83,150,154,121,81,0,0,81,0.5,0.0,0.0,0.5,-4,-81,9,76,-1,-1,74,72,0,0,72,0.8549,0.0087,0.8461,0.5332,0.8748,0.0089,0.8661,43.7390,125.3026,0.8386,0.0096,0.8558,0.1542,1.7386,0.0228,1.2888,72.3675,203.1715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,97761a1d40b1d59fc20dfcbc91b66f238638b068,1414952056,1462,"Malcom/config/malconf.py","{""0"":0.778787}","{""0"":0.7643048}",0.7643,0.7788,0.7788,0.7788,0.7788,0.0000,0.7788,0.7788,0.7643,0.7643,0.7643,0.7643,0.7643,0.7788,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",true,false,true,false,0,0,6,14541412,1,1,0,171,75,158,83,141,154,121,9,0,0,9,0.05263158,0.0,0.0,0.05263158,-13,-9,1,-72,0,0,-72,8,0,-5,3,0.8541,0.0092,0.8440,0.5320,0.8748,0.0089,0.8661,43.7390,125.3026,0.8345,0.0106,0.8536,0.1556,1.7386,0.0228,1.2888,72.3675,203.1715,NaN,10,13,1.3000,0.0000,0,7,2.1471,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,b55d7caafbea7414e173ad479670b2aa0959b3ec,1417031960,1462,"Malcom/config/malconf.py","{""0"":0.71333146}","{""0"":0.7073654}",0.7074,0.7133,0.7133,0.7133,0.7133,0.0000,0.7133,0.7133,0.7074,0.7074,0.7074,0.7074,0.7074,0.7133,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",true,true,false,false,1,0,7,16621316,1,1,0,172,75,158,83,140,154,116,1,0,5,6,0.0058139535,0.0,0.029069768,0.034883723,-14,-1,1,-8,0,5,-3,0,0,5,5,0.8260,0.0077,0.8165,0.4084,1.7289,0.0181,1.2786,71.8646,201.7264,0.8260,0.0107,0.8509,0.1880,2.5731,0.0333,1.5426,92.3953,260.9267,NaN,10,13,1.3000,0.0000,0,7,2.1471,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,4af23ad14c5abf0c9723952244da02f417a0eccd,1417285839,1462,"Malcom/config/malconf.py","{""0"":0.70818365}","{""0"":0.7049591}",0.7050,0.7082,0.7082,0.7082,0.7082,0.0000,0.7082,0.7082,0.7050,0.7050,0.7050,0.7050,0.7050,0.7082,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,true,false,false,2,0,8,16875195,1,1,0,173,75,158,83,139,154,116,1,0,0,1,0.0057803467,0.0,0.0,0.0057803467,-15,-1,18,0,0,-5,-5,-17,0,0,-17,0.8255,0.0078,0.8165,0.4075,1.7289,0.0181,1.2786,71.8646,201.7264,0.8251,0.0108,0.8510,0.1872,2.5731,0.0333,1.5426,92.3953,260.9267,NaN,10,13,1.3000,0.0000,0,7,2.1471,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,837b2bc546e1ba321ea8ea95e42b2f155e26c02d,1430416071,1462,"Malcom/config/malconf.py","{""0"":0.34896925,""72"":0.09405941}","{""0"":0.38520175}",null,0.0941,0.4430,0.2215,0.2215,0.1275,0.0941,0.3490,0.3852,0.3852,0.3852,0.3852,0.3852,0.4430,1.0000,0.4246,1.5754,1,"[0]",1,"[0]",false,false,false,false,2,0,9,30005427,2,2,72,191,75,158,83,121,154,116,18,0,0,18,0.09424084,0.0,0.0,0.09424084,-33,-18,0,17,0,0,17,16,-2,-2,12,0.5965,0.0011,0.6212,0.4529,1.7289,0.0181,1.2786,71.8646,201.7264,0.5928,0.0006,0.6113,0.4479,3.3991,0.0441,1.7325,108.2121,310.5391,NaN,10,28,2.8000,0.0000,0,22,6.4777,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
