project,hash,date,fileId,fileName,dok0.004Values,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,dok0.004Median,dok0.004Std,dok0.004Min,dok0.004Max,dok0.004RelativeAvg,dok0.004RelativeMedian,dok0.004RelativeMin,dok0.004RelativeMax,dok0.004FileBusFactor0.5,dok0.004FileBusFactor0.6,dok0.004FileBusFactor0.7,dok0.004FileBusFactor0.8,dok0.004FileBusFactor0.9,dok0.004FileBusFactor1.0,dok0.004ProjectBusFactor0.5,dok0.004ProjectBusFactor0.6,dok0.004ProjectBusFactor0.7,dok0.004ProjectBusFactor0.8,dok0.004ProjectBusFactor0.9,dok0.004ProjectBusFactor1.0,isBugPresent,isBugfix,isSZZBugIntroducer,isRefactor,totalBugfix,totalRefactors,revision,age,authors,totalAuthors,authorId,totalLoc,locFirst,locLast,locLast-First,deltaTotalAddedToLast,deltaTotalRemovedToLast,deltaTotalReplacedToLast,added,removed,replaced,modified,relativeAdded,relativeRemoved,relativeReplaced,relativeModified,deltaLocToLast,deltaLocToPrev,deltaLocToNext,deltaLocAddedToPrev,deltaLocRemovedToPrev,deltaLocReplacedToPrev,deltaLocModifiedToPrev,deltaLocAddedToNext,deltaLocRemovedToNext,deltaLocReplacedToNext,deltaLocModifiedToNext,180hcpf1,180hcpf2,180fileHcpf,180commitHcpf,180hcm1,180hcm2,180edhcm,180ldhcm,180lgdhcm,90hcpf1,90hcpf2,90fileHcpf,90commitHcpf,90hcm1,90hcm2,90edhcm,90ldhcm,90lgdhcm,riskScore,nrOfFunctions,ccsSum,ccsAvg,ccsMed,ccsMin,ccsMax,ccsStd,isKillCommit,scatterSingleScore,scatterAvg15,scatterSum15,scatterMax15,scatterMed15,scatterTimeAvg,scatterTimeSum,scatterTimeMax,scatterTimeMed,dependencyChanged,dependencyChangedPrev5Commits
zaproxy,e025aa512d48cc4a5ed7716c8a7714a264132c02,1558533304,3640,"test/org/parosproxy/paros/core/scanner/VariantJSONQueryUnitTest.java","{""2"":7.576065E-4,""5"":0.011171085,""28"":0.018961089}",0.0076,0.0112,0.0309,0.0103,0.0112,0.0075,0.0008,0.0190,0.0309,1.0849,0.0736,1.8415,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,0,0,0,0,3,1,5,375,125,125,0,500,250,2,0,125,0,125,0.0,0.33333334,0.0,0.33333334,-250,125,-125,0,125,-1,124,0,0,0,0,0.8614,0.0001,0.8715,0.1808,1.5597,0.0027,1.0107,57.7798,165.8380,0.8637,0.0001,0.8716,0.1951,2.2022,0.0098,0.4604,37.5854,124.9993,20.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,3556.5896,-1.0000,-1.0000,-1.0000,-1.0000,84079.7734,28026.5918,40549.5156,39973.6719,true,true
zaproxy,060da6d88991d7f9f94fd9932885a3810983a47a,1558604693,3640,"test/org/parosproxy/paros/core/scanner/VariantJSONQueryUnitTest.java","{""2"":7.5457606E-4,""5"":0.011126402,""28"":0.018961089}",null,null,0.0308,0.0103,0.0111,0.0075,0.0008,0.0190,0.0308,1.0823,0.0734,1.8443,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,1,71389,3,2,0,250,125,125,0,500,125,2,0,125,0,125,0.0,0.5,0.0,0.5,-125,125,-125,0,0,0,0,0,0,0,0,0.8764,0.0001,0.8714,0.2247,1.5597,0.0027,1.0107,57.7798,165.8380,0.8777,0.0001,0.8715,0.2478,2.2022,0.0098,0.4604,37.5854,124.9993,4.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,39973.6719,-1.0000,-1.0000,-1.0000,-1.0000,80523.1875,40261.5938,40549.5156,40261.5938,false,false
zaproxy,f9d9b4b765ee758daca3763d604b0986624bd25d,1559924859,3640,"test/org/parosproxy/paros/core/scanner/VariantJSONQueryUnitTest.java","{""5"":0.019906659,""28"":0.0024134484}",0.0007,null,0.0223,0.0112,0.0112,0.0087,0.0024,0.0199,0.0223,1.0000,0.2163,1.7837,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,2,1391555,2,3,2,125,125,125,0,500,0,2,0,125,0,125,0.0,1.0,0.0,1.0,0,125,0,0,0,0,0,0,0,0,0,0.8908,0.0001,0.8749,0.3619,1.5597,0.0027,1.0107,57.7798,165.8380,0.8914,0.0001,0.8748,0.4005,2.2022,0.0098,0.4604,37.5854,124.9993,3.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,40549.5156,-1.0000,-1.0000,-1.0000,-1.0000,40549.5156,40549.5156,40549.5156,40549.5156,false,false
zaproxy,51a6ab44e06233ec0d29bc9920cc48fe286a52a8,1488369819,2306,"src/org/zaproxy/zap/extension/api/ApiResponseList.java","{""2"":0.09454805,""28"":0.33009708}",null,0.3301,0.4246,0.2123,0.2123,0.1178,0.0945,0.3301,0.4246,1.0000,0.4453,1.5547,1,1,0,0,0,0,1,0,0,0,0,0,false,false,false,false,0,0,0,0,2,1,28,132,96,-252,-348,288,541,13,1,0,1,2,0.007575758,0.0,0.007575758,0.015151516,-384,-1,12,0,0,0,0,-12,-1,-1,-14,0.7916,0.0000,0.8030,0.3007,3.3053,0.0007,0.6362,52.4767,180.1250,0.7825,0.0000,0.7823,0.2080,3.1307,0.0018,0.3179,28.7497,130.5306,56.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,7984.4717,-1.0000,-1.0000,-1.0000,-1.0000,127566.7969,18223.8281,40549.5156,7984.4717,false,false
zaproxy,8960befa37a1e5e04b80cb044aa5121af115dd43,1558533277,2306,"src/org/zaproxy/zap/extension/api/ApiResponseList.java","{""2"":0.0054394146}",null,null,0.0054,0.0054,0.0054,0.0000,0.0054,0.0054,0.0054,1.0000,1.0000,1.0000,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,0,0,1,70163458,1,2,5,9,96,-252,-348,288,408,13,0,133,0,133,0.0,14.777778,0.0,14.777778,-261,133,-133,-1,125,-1,123,0,0,0,0,0.8764,0.0002,0.8867,0.0302,4.9132,0.0009,0.9427,74.2226,262.9523,0.8786,0.0002,0.8873,0.0167,4.7432,0.0025,0.4507,39.6920,188.8819,5.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,32921.6836,-1.0000,-1.0000,-1.0000,-1.0000,113444.8672,37814.9570,40549.5156,39973.6719,true,false
zaproxy,060da6d88991d7f9f94fd9932885a3810983a47a,1558604693,2306,"src/org/zaproxy/zap/extension/api/ApiResponseList.java","{""2"":0.005427113}",null,null,0.0054,0.0054,0.0054,0.0000,0.0054,0.0054,0.0054,1.0000,1.0000,1.0000,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,2,70234874,1,3,0,NaN,96,-252,-348,288,275,13,0,133,0,133,-0.0,NaN,-0.0,NaN,-128,133,-128,0,0,0,0,0,5,0,5,0.8764,0.0001,0.8714,0.2247,4.9132,0.0009,0.9427,74.2226,262.9523,0.8777,0.0001,0.8715,0.2478,4.7432,0.0025,0.4507,39.6920,188.8819,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,39973.6719,-1.0000,-1.0000,-1.0000,-1.0000,80523.1875,40261.5938,40549.5156,40261.5938,false,false
zaproxy,f9d9b4b765ee758daca3763d604b0986624bd25d,1559924859,2306,"src/org/zaproxy/zap/extension/api/ApiResponseList.java","{""2"":0.0043269033}",0.0051,0.0043,0.0043,0.0043,0.0043,0.0000,0.0043,0.0043,0.0043,1.0000,1.0000,1.0000,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,3,71555040,1,4,2,NaN,96,-252,-348,288,147,13,0,128,0,128,-0.0,NaN,-0.0,NaN,0,128,0,0,-5,0,-5,0,0,0,0,0.8908,0.0001,0.8749,0.3619,4.9132,0.0009,0.9427,74.2226,262.9523,0.8914,0.0001,0.8748,0.4005,4.7432,0.0025,0.4507,39.6920,188.8819,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,40549.5156,-1.0000,-1.0000,-1.0000,-1.0000,40549.5156,40549.5156,40549.5156,40549.5156,false,false
zaproxy,51a6ab44e06233ec0d29bc9920cc48fe286a52a8,1488369819,3638,"test/org/parosproxy/paros/core/scanner/VariantCookieUnitTest.java","{""5"":0.2945793,""28"":0.5}",null,0.5000,0.7946,0.3973,0.3973,0.1027,0.2946,0.5000,0.7946,1.0000,0.7415,1.2585,2,1,1,1,1,1,1,0,0,0,0,0,false,false,false,false,0,0,0,0,2,1,28,1872,468,468,0,1414,1414,28,468,0,0,468,0.25,0.0,0.0,0.25,-1404,-468,5,0,0,0,0,463,0,-14,449,0.7916,0.0019,0.8030,0.3007,0.6948,0.0043,0.3440,23.1612,63.0556,0.7825,0.0021,0.7823,0.2080,1.3929,0.0050,0.4076,31.6660,94.0158,31.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,7984.4717,-1.0000,-1.0000,-1.0000,-1.0000,98011.3281,19602.2656,40549.5156,7984.4717,false,false
zaproxy,e025aa512d48cc4a5ed7716c8a7714a264132c02,1558533304,3638,"test/org/parosproxy/paros/core/scanner/VariantCookieUnitTest.java","{""2"":0.0014890888,""5"":0.01097848,""28"":0.018634167}",0.0076,0.0110,0.0311,0.0104,0.0110,0.0070,0.0015,0.0186,0.0311,1.0590,0.1436,1.7974,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,false,0,0,1,70163485,3,2,5,1409,468,468,0,1414,941,28,0,473,0,473,0.0,0.33569908,0.0,0.33569908,-941,473,-473,-5,473,-14,454,0,0,0,0,0.8614,0.0005,0.8715,0.1808,2.3077,0.0063,0.7171,53.1342,159.3354,0.8637,0.0005,0.8716,0.1951,2.9975,0.0072,0.3598,31.8941,133.4071,25.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,3556.5896,-1.0000,-1.0000,-1.0000,-1.0000,84079.7734,28026.5918,40549.5156,39973.6719,true,true
zaproxy,060da6d88991d7f9f94fd9932885a3810983a47a,1558604693,3638,"test/org/parosproxy/paros/core/scanner/VariantCookieUnitTest.java","{""2"":0.0014831322,""5"":0.010934565,""28"":0.018634167}",null,null,0.0311,0.0104,0.0109,0.0070,0.0015,0.0186,0.0311,1.0564,0.1433,1.8003,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,2,70234874,3,3,0,936,468,468,0,1414,468,28,0,473,0,473,0.0,0.5053419,0.0,0.5053419,-468,473,-468,0,0,0,0,0,5,0,5,0.8764,0.0005,0.8714,0.2247,2.3077,0.0063,0.7171,53.1342,159.3354,0.8777,0.0005,0.8715,0.2478,2.9975,0.0072,0.3598,31.8941,133.4071,5.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,39973.6719,-1.0000,-1.0000,-1.0000,-1.0000,80523.1875,40261.5938,40549.5156,40261.5938,false,false
